ID,Group1_R1DNO1_1_root,Group1_R1DNO1_2_root,Group1_R2DNO1_1_root,Group1_R2DNO1_2_root,Group1_R3DNO1_1_root,Group1_R3DNO1_1_root,Group2_R3EIC1_1_root,Group2_R3EIC1_2_root,Group2_R1EIC1_1_root_bad,Group2_R1EIC1_2_root_bad,Group2_R2EIC1_1_root,Group2_R2EIC1_2_root,Group3_R1EIO1_1_root,Group3_R1EIO1_2_root,Group3_R2EIO1_1_root,Group3_R2EIO1_2_root,Group3_R3EIO1_1_root_bad,Group3_R3EIO1_2_bad,Group4_R3DNC1_1_root,Group4_R3DNC1_2_root,Group4_R1DNC1_1_root,Group4_R1DNC1_2_root,Group4_R2DNC1_1_root,Group4_R2DNC1_2_root
DHB039,672.205444,1117.75415,0,346.324402,12686.9023,17824.8027,173.026901,83.1682129,1894.89368,2284.49194,1443.3009,2190.15625,1290.15881,2045.19397,2036.19092,2422.00342,88.8833389,906.087341,438.225616,653.463196,1130.49512,1252.63501,333.061005,485.850983
DHB040,4138.08301,2384.3147,11538.0967,4521.12256,7391.0083,10307.3574,4562.94336,7983.6792,234.050812,574.269958,24244.375,24177.5352,8831.79492,7144.73193,2093.05371,3345.7627,57.9728889,1920.13831,2930.03735,2481.16602,9676.81152,18988.0605,5617.07568,7748.46484
DHB041,117.485962,38.4010429,675.905029,521.806458,36.3260117,145.548157,204.342941,216.734192,0,0,0,0,4.98577309,0,5.54058313,10.5309248,10.5859814,0,783.205627,580.13855,119.925789,1029.18347,317.510651,797.939148
DHB042,31.4396076,32.2034531,0,46.7561493,108.014198,199.076736,18.2152176,24.1966915,30.2171421,0,0,0,0,0,17.0738754,11.4913168,0,0,0,12.7258921,49.1000938,90.8298111,361.316925,669.716919
DHB043,9004.68945,18461.7012,118447.305,79449.0234,22902.3105,31024.9746,64770.3906,28635.4805,41369.6602,43623.8086,28935.3418,28248.0742,54084.6641,38432.8008,10081.4697,11650.7119,11784.748,6839.1333,201.225449,132.911591,5189.94189,33399.5313,86271.8828,35116.0508
DHB044,894.417908,537.83252,33.8986282,44.9364738,1945.56006,3304.40137,589.75824,628.073059,645.486206,1312.42078,1817.896,2337.30078,4828.35938,4363.20898,3112.90015,3491.83423,226.212906,1361.62012,476.101593,597.085205,742.257263,2705.0144,500.935638,644.192627
DHB045,1095.06079,548.466675,6411.22949,2148.97607,2314.88892,1861.59033,1329.26379,3750.73975,13.741498,0,76.6807175,15.0561371,64.2785721,0,0,34.7089005,0,10.1403484,0,28.2076168,133.967606,3610.41699,1113.79358,1267.06384
DHB046,60.3215981,50.3389626,315.3573,64.1029205,213.51561,269.200043,725.633545,2314.41187,190.42009,164.450653,3443.45654,3824.17725,2275.20215,940.004395,826.436279,638.402771,12.3556986,0,1600.6676,949.802063,5166.34766,7903.54102,2532.57544,4624.09619
DHB047,39.8824654,352.698517,1092.89563,1181.98303,22971.6406,27940.7773,3746.80347,6184.47803,331.006042,346.754242,5885.3418,6448.68359,94.6798935,29.7144527,42.9931602,10.3521786,0,0,2336.25903,1450.62244,9994.58398,7702.2583,1020.64111,5604.81299
DHB048,15174.5869,12765.0869,51798.4297,30590.0176,3528.44214,3826.82129,20859.2754,24455.0469,9559.42676,7937.90918,50106.2891,46582.9727,3942.84424,2170.87354,14569.8818,9205.4375,1328.4812,1863.01416,25715.1445,13859.1113,143508.609,120026.992,28802.291,74260.6719
DHB049,781.257202,1067.62024,1313.9845,779.839722,2882.90283,3647.91699,5593.78467,4455.9375,66.5141373,116.058868,69.427536,130.517731,229.813248,161.926102,169.579315,247.986694,10.0423441,65.0530472,0,5.59724045,446.820282,4396.07666,3045.36133,3056.63184
DHB050,1805.12903,1246.32996,9485.30469,3581.85449,2780.6333,4403.79443,3534.1084,2279.2959,128.260208,194.043839,15032.8428,15256.1816,2553.44165,2706.40942,703.87323,1019.13562,26.4131165,935.443604,1194.84949,1344.05835,8996.64355,12025.4883,3299.69922,4368.2002
DHB051,1842.73901,1246.32996,9485.30469,3581.85449,2780.6333,4403.79443,3584.96387,2260.85425,128.260208,194.043839,15032.8428,15256.1816,2553.44165,2706.40942,703.87323,1022.1283,26.4131165,935.443604,1194.84949,1344.05835,8995.80664,12037.8545,3299.69922,4368.2002
DHB052,0,0,27.4683075,0,3117.92114,3767.02075,368.34549,282.026459,7.58365679,0,0,33.7751312,166.007187,0,2.71518612,19.7291527,0,0,35.3595848,0,56.941658,164.35347,24.0144806,42.8096924
DHB053,9.40384674,65.7277985,23.2402782,147.218826,17.7259941,68.3712692,0,0,0,0,31.3466206,129.42601,12400.9658,2062.21509,371.393768,626.882751,0,0,87.9150085,78.9641037,5.85199451,93.5535202,0,27.4208298
DHB054,5176.01855,3461.02197,19602.3594,4053.82349,2232.11816,2969.00879,13119.8682,13025.5566,3034.43115,2685.89526,18930.4316,18491.4219,2029.25818,327.200348,3933.14453,4166.57764,0,63.8575897,214.498062,45.1579628,16941.2031,27897.1406,9500.78125,22872.2637
DHB055,0,13.7990427,164.340927,0,5.54170227,0,283.084442,0,12.4217138,0,37.209156,17.8743172,14561.2871,5234.70947,750.871033,849.694641,42.7436714,353.788239,0,0,1.93468094,1.95333469,0,0
DHB056,1733.65808,163.485565,3194.88916,132.512985,8193.62207,14642.5449,1024.05688,5100.88135,0,0,9492.18359,7947.73096,4809.68604,2703.55688,1147.21484,1626.20117,0,1435.98181,0,0,1011.45819,3696.91821,1400.73901,1446.13171
DHB057,1446.64233,189.106049,6971.55469,1434.35999,3347.22095,8050.69141,3003.38892,5236.43701,1352.57959,2203.20166,821.548401,1069.54834,2649.26465,2034.99048,968.67157,1344.88855,176.829529,1844.3678,0,0,270.752167,3870.88159,681.905823,2237.57544
DHB058,904.259338,162.10704,10420.6416,4088.57544,2515.71948,5398.31006,2107.03394,3747.97583,0,90.4454956,60.8254204,0,86.9126968,0,7.12547255,11.3549109,0,18.9628105,12.7326899,0,642.483215,7002.98291,5490.87109,6966.6543
DHB059,0,0,23.3510151,0,3.940979,128.882156,15.1084576,0,20755.4668,48013.0117,3723.62354,4253.83398,12598.9102,2638.4126,1367.87463,1986.15906,198.127213,775.650269,0,33.0495911,8.67364597,27.2403011,6.81972885,1.64025807
DHB060,75.2711334,29.0187702,20.3386765,109.855972,177.671494,202.317886,11.6943264,35.2202187,24.1841526,14.293067,0,0,229.07106,331.584839,743.420105,269.693207,10.0963879,147.948685,91.9399872,645.858948,295.631073,85.7012558,9.21421146,49.8221474
DHB061,0,0,26.452507,47.6816063,24.8017635,305.550476,43.8092499,54.4725456,30.370636,0,1612.03699,1318.20898,61.1273575,93.2611542,289.794647,131.006271,26.7388325,398.124268,79.5027924,29.8578033,1244.82715,879.103882,9.48365211,9.45654678
DHB062,0,0,26.452507,47.6816063,24.8017635,295.539001,43.8092499,54.4725456,30.370636,0,1612.03699,1318.20898,47.4404678,93.2611542,289.794647,135.273392,26.7388325,398.124268,79.5027924,29.8578033,1244.82715,886.26532,9.48365211,9.90084648
DHB063,0,0,0,0,11.0655746,24.7795963,103.907188,502.092377,0,11.4787388,178.839813,129.929047,0,0,51.9950027,13.8417845,58.2855415,0,32.0575066,0,59.4559937,119.777405,170.056015,54.6620369
DHB064,0,50.5169373,198.099457,116.864647,22947.8652,39882.3945,7814.87646,5567.86035,41.2760506,44.9684868,2973.25293,3587.18481,4467.69775,1482.69727,3609.13208,4401.07666,543.385742,382.315796,1335.47937,1309.38074,517.578064,1033.82886,95.486557,177.822723
DHB065,54.939064,44.1443825,221.534378,73.1710129,37.0830536,19.3672619,49.0122719,35.4466286,52.4102707,20.6522045,0,0,66.9852753,56.7311134,37.0343437,10.5005922,0,21.8521385,110.061066,52.0233841,27.2102051,265.752319,48.0654755,148.827957
DHB066,0,37.362175,0,0,999.032837,865.524353,0,0,0,0,5144.25781,6741.3999,4344.2041,1323.77917,261.618225,322.95993,0,5.97426081,0,0,19.5224056,12.8434677,16.3977528,258.702667
DHB067,0,35.2069778,1116.58264,763.434265,6.45943499,153.728195,0,0,18.476963,0,0,0,0,0.297142357,10.1763983,0,0,19.2024002,27.7540455,19.5361691,2.62534881,147.017288,580.044495,429.916565
DHB068,47.3229103,36.7510262,63.6811295,8.3534565,12.1316948,19.1549072,0,0,9.41309452,11.0136232,1006.71631,1422.31592,2688.70679,741.888855,879.161377,1327.23474,0,0,0,0,16.0026817,202.108826,22.4962673,286.471344
DHB069,115.807465,43.6054802,4451.38281,1987.74817,431.259003,1067.45264,325.677704,395.729095,0,44.8119278,28.1697235,0,29.3897629,22.465126,0,4.8049612,0,0,0,0,280.566223,2016.08557,2726.99487,2317.99048
DHB070,0,0,221.542099,48.1561317,16.9469738,11.4746952,0,72.5523453,0,0,0,0,3313.27466,1803.37549,0,5.25070477,22.7816677,0,0,0,3.49730277,16.5141182,7.01760912,16.5501499
DHB071,36.5660286,6.55721569,0,23.5910854,59.6651192,14.0001678,30.0718098,37.0773964,30.6660862,76.1980133,40.1441422,14.8258095,110.589226,78.6925583,68.3724365,47.5144157,47.9572945,63.616127,43.6994781,0,115.296707,15.9211445,0,101.89032
DHB072,33.9085693,14.4997988,0,40.3692322,2569.42603,4656.5,31724.168,66907.6016,1155.26477,1940.40808,9058.74316,7002.78271,9248.36621,6148.49365,12230.8262,11102.1797,0,2068.70239,24.7934341,42.7066422,2.80567646,865.003357,199.689178,2543.33716
DHB073,2372.27881,1761.79004,3829.76294,2538.61743,3829.68848,3127.23242,3622.88843,1436.22412,3913.40405,4884.45313,1099.8241,1640.64197,6268.53174,4790.93262,4536.07764,3849.42017,2219.34521,4118.63574,4664.17236,3907.56201,5033.94043,3064.88208,1812.00159,3953.42847
DHB074,2372.27881,1761.79004,3829.76294,2538.61743,3829.68848,3134.14819,3622.88843,1442.65576,3913.40405,4884.45313,1099.8241,1640.64197,6268.53174,4790.93262,4537.37598,3849.42017,2219.34521,4118.63574,4664.17236,3907.56201,5033.94043,3064.88208,1812.00159,3953.42847
DHB075,94.1417084,27.0743446,0,18.4755001,191.466766,65.4611053,134.175568,0,198.001389,320.814087,81.3846359,38.7937012,294.683563,268.94339,319.040924,216.117233,187.026794,246.002441,77.882164,147.846649,328.32605,56.8629494,31.6891136,88.5651474
DHB076,367.009766,41.6360283,1629.25171,98.4907455,5517.71631,10426.1016,148.013107,2706.27563,1.51162851,18.6194019,7.96938848,0,41.8408928,3.286026,18.0577946,0,6.49853802,5.09863424,35.0457077,0,87.0586243,1926.92786,537.282715,1719.72473
DHB077,367.009766,41.6360283,1629.25171,96.0166321,5514.01318,10412.4561,148.013107,2706.27563,4.12586975,18.6194019,7.96938848,0,38.2386475,0,18.0577946,0,17.7372437,5.09863424,16.8429813,0,87.0586243,1926.92786,537.282715,1719.72473
DHB078,367.009766,41.6360283,1629.25171,95.334137,5514.01318,10412.4561,148.013107,2706.27563,4.12586975,18.6194019,7.96938848,0,39.0853729,0,18.0577946,0,17.7372437,5.09863424,16.8429813,0,87.0586243,1926.92786,537.282715,1719.72473
DHB079,367.009766,41.6360283,1593.78589,91.23526,5514.01318,10412.4561,148.013107,2706.27563,4.12586975,16.1389809,7.96938848,0,46.4446602,0,18.1586208,0,17.7372437,5.09863424,16.8429813,0,87.0586243,1926.92786,549.090393,1719.72473
DHB080,52.4224167,0,0,14.945755,2097.18799,5272.97412,0,16.0363808,9.54511356,13.2652817,56.9500122,25.8189335,445.848541,577.151184,363.936249,587.158813,0,229.879059,0,0,28.9755039,0,0,0
DHB081,531.00769,378.389832,385.456512,429.370636,1010.29846,697.614014,1045.45752,69.8329315,891.03656,1425.41077,147.642914,233.432724,1874.99011,1167.61682,1261.52197,994.584595,464.359772,1106.98621,1273.72095,895.18866,1372.57544,695.274353,217.534164,820.883301
DHB082,407.174072,19.6525269,255.11467,124.586533,35.24543,74.276001,0,165.572464,6.94235802,0,97.050415,0,578.752991,83.2616119,6.96806717,29.2229156,0,48.2983437,27.9490776,0,40.192421,321.633453,15.1148167,153.178864
DHB083,100.283157,16.918314,414.165741,151.86908,3.50605726,24.2848606,56.3256073,166.113846,16.7499084,0,12.3297739,26.4776821,183.018845,51.5578918,47.4361649,86.0082703,0,0,158.778763,0,18.6568508,397.311249,33.0981827,225.447998
DHB084,40.5945435,2.88228106,0,0,73.8226776,0,0,0,8.69523716,0,0,0,0,10.7978764,89.1827393,2.03930426,0,0,147.211807,20.4206009,3.89713144,7.76321936,0,0
DHB085,289.620331,443.044525,12080.2402,5108.68066,1594.1571,3244.42334,4915.62842,6608.69873,3771.19922,5373.02295,3120.90503,2827.60571,10896.5322,6727.45215,1179.52258,2033.21448,92.9792099,186.008957,15.221467,15.1739073,268.362152,9055.1377,10526.5928,5995.82715
DHB086,291.106659,443.044525,12080.2402,5108.68066,1589.73474,3244.42334,4915.62842,6608.69873,3771.19922,5363.94629,3120.90503,2827.60571,10896.5322,6727.45215,1185.85376,2033.21448,92.9792099,186.008957,7.41795158,15.1739073,268.362152,9055.1377,10526.5928,5999.19434
DHB087,90.6472931,0,580.513184,252.830795,14.3966932,53.6828003,1041.16943,938.933167,4.04141283,0,0,0,0,0,15.3960896,12.1530905,0,13.7126865,0,0,35.377327,569.231445,280.075684,271.441406
DHB088,96.8224869,0,294.911499,114.081917,8.21893883,245.663025,124.078758,42.6137619,20.7704849,0,0,0,0,55.5754433,38.2301407,10.9765482,24.4529648,9.46781445,0,0,62.76894,933.174316,68.0169144,272.080109
DHB089,92.6484985,0,137.430252,27.27701,199.747971,167.158417,87.6714935,0,328.774628,333.28952,0,0,514.984131,216.30571,237.707596,219.913376,54.8341713,187.447159,226.544144,141.058456,287.231262,68.8762131,8.24550724,112.993065
DHB090,20.3719196,6.60752392,86.3154602,0,14.1723881,0,97.9781189,35.8125076,784.08783,188.769104,12.8074341,0,20.1695652,0,47.7874947,2.29865217,0,9.94745636,0,0,57.6485481,0,14.0008192,25.599308
DHB091,107.254784,8.09967804,348.894592,243.278885,22.7117615,22.4945126,291.780212,195.730469,0,11.6646347,79.4866257,257.643188,816.598022,165.0616,23.1576557,35.4712448,0,0,60.9225845,12.6340055,2.40024376,413.679688,79.5488052,330.833649
DHB092,97.4147263,146.222595,648.297791,286.908264,2.68298435,14.4833841,238.547821,128.129364,15.7379265,0,0,0,27.7358398,0,2.7565136,0,0,0,148.837006,0,29.827755,647.474182,90.2847366,219.378448
DHB093,123.899673,6.44507504,0,0,29.0803242,0,0,26.2188663,0,0,12838.0605,13830.4951,11060.2813,1940.96057,679.534546,751.115967,0,11.5986061,0,0,7.05642939,11.074297,0,7.532094
DHB094,1352.43091,671.589111,8712.81836,3398.52051,115.294273,73.6835327,2974.97241,2520.68677,41.1515579,35.1015396,79.462738,91.2732162,333.093384,120.418831,72.5998993,52.8962631,69.0752487,63.7640991,518.306152,192.272156,380.060394,3145.28931,299.391479,491.849609
