ID,Group1_R1DNO1_1_root,Group1_R1DNO1_2_root,group1_R2DNO1_1_root,Group1_R2DNO1_2_root,Group1_R3DNO1_1_root,Group1_R3DNO1_2_root,Group2_R3EIC1_1_root,Group2_R3EIC1_2_root,Group2_R1EIC1_1_root,Group2_R1EIC1_2_root,Group2_R2EIC1_1_root,Group2_R2EIC1_2_root,Group3_R1EIO1_1_root,Group3_R1EIO1_2_root,Group3_R2EIO1_1_root,Group3_R2EIO1_2_root,Group3_R3EIO1_1_root_bad,Group3_R3EIO1_2_root_bad,Group4_R3DNC1_1_root, Group4_R3DNC1_2_root,Group4_R1DNC1_1_root,Group4_R1DNC1_2_root, Group4_R2DNC1_1_root,Group4_R2DNC1_2_root
NEDC209,9480.85156,9283.76367,36752.8281,22685.5273,11216.6201,15298.8232,1693.24036,1205.52271,4583.92188,4444.74512,24867.2324,12351.9727,2689.79736,4262.40332,366.928528,928.848022,2138.96094,1429.18445,29861.4766,13287.1689,29483.2227,21992.4688,0,31.3956985
NEDC210,68.6840134,76.5633698,940.712463,508.69101,1141.4928,820.54657,13.372117,48.1614799,173.464005,273.266174,158.379272,46.9630318,87.7731934,176.041473,0,177.933777,47.1146317,33.0822296,1789.45911,590.443359,517.351624,474.995575,37.2285233,27.58811
NEDC211,316.450928,442.991852,685.107483,465.385101,24.3473186,8.82224846,24.8504162,8.10048866,7339.4751,6514.52246,119.513168,40.0788918,2378.73438,3245.38037,1689.34448,3714.29736,1975.05481,1241.46692,1810.37537,961.726196,351.599335,382.88446,34.7361679,78.487709
NEDC212,88673.0703,90806.7109,357474.031,231766.672,103988.617,139684.281,15529.5,12075.4092,33216.2148,31543.7813,231175.109,125089.898,22469.5703,26722.8926,8692.06055,11156.2617,18011.7617,13013.5508,360187.969,174658.5,388165.156,304732.75,233.477386,47.6874847
NEDC213,32.9762917,25.655838,532.291626,263.723297,162.109573,222.163147,486.340027,277.941193,114.981873,121.851685,1125.58618,584.094666,250.765961,481.8284,37.5889893,0,18.5528545,0,574.884033,63.6962509,330.409302,208.451492,99.4320908,76.3147507
NEDC214,133.160995,263.195465,357.714203,73.2667084,21.2959156,0,0,3.79579234,3941.64014,3847.78979,12.4118395,9.5300436,1995.05786,2844.41333,1038.9032,2567.14233,1112.34058,651.469849,443.223297,321.705658,242.892517,264.390778,58.6203651,0
NEDC215,383.064026,709.820129,502.470459,166.945511,6.13964415,21.9550266,28.4200001,45.8576241,0.266224295,0.455216616,423.417572,152.52919,16.5971622,25.0424767,24.0406075,43.2513351,57.5266228,36.9991722,397.69696,300.717224,409.884369,339.351959,0,0
NEDC216,229.944733,151.65416,235.998123,394.014435,398.347717,607.889343,185.665436,159.829361,194.342621,187.38768,461.327179,181.947433,220.650696,145.355927,24.4517651,82.3451614,290.553497,263.74939,2607.64746,2035.82983,1317.37354,1677.29211,511.17569,219.538834
NEDC217,176.718292,214.178955,487.386353,188.950333,7.5970645,3.53386998,0,13.1919498,25.2643795,37.6631203,84.2709198,20.1626186,35.1791801,19.1820145,24.6837292,12.9967356,0,0,294.170776,360.006439,107.865746,131.826599,0,0
NEDC218,185.458038,567.059143,819.970886,347.707001,17.0639896,10.0814152,0,22.9068775,80.8669357,35.727623,90.8980713,74.7810287,76.1434097,56.9675369,5.5151701,195.798843,16.6934681,16.5974083,769.7771,670.933655,425.484131,334.132935,18.733305,0
NEDC219,62.3331108,142.494522,166.005951,58.3068085,9.60046196,9.24431992,6.98046923,10.4239492,0,79.4373093,1630.77991,554.226685,9.63946247,0,33.6485023,0,0,3.1075778,281.571716,127.601891,54.4017258,38.6737289,39.8046951,31.1370602
NEDC220,2626.09766,3302.34375,9055.99414,5503.85986,435.011261,231.685944,6.09187937,14.5137272,85.0361023,40.0976982,6880.19043,2133.26636,0,7.77202845,0,0,0,9.93857765,8448.44531,4703.67383,2390.56055,2113.73462,0,51.7335396
NEDC221,1057.13928,1343.73279,3154.97095,2112.4126,61.2103081,7.66380167,13.0073662,22.9468117,0,63.1175346,2594.42554,962.032104,0,0,0,38.9369812,0,14.0495348,3867.59619,1992.1167,633.078979,801.310913,37.7591743,0
NEDC222,1733.46191,1716.91272,219.541382,17.4722233,30.9830494,13.7241945,27.7578754,2.83247638,105.096458,103.945572,84.7189255,0,12.5355005,140.825089,79.5383148,0,3.73564601,4.83089399,323.838715,271.848663,56.9637375,33.7579193,0,0
NEDC223,874.333984,902.318848,577.534912,80.8522797,102.251839,62.0464211,6.36754179,10.3635645,297.339661,306.350403,136.921051,50.3758698,0,69.9917603,0,0,42.3594513,5.42212486,1422.23523,767.697449,361.967987,326.739105,0,0
NEDC224,197.347794,230.27771,866.782471,423.75116,75.5039063,27.1968346,41.9968681,102.907738,0,0,545.810547,341.682465,12.3595285,20.2766647,0,0,5.44905901,18.7791862,964.99646,258.645935,1531.677,1131.04175,6.94258213,47.0994606
NEDC225,1537.76147,2950.60327,1655.13635,1235.15222,314.392151,365.407776,2124.18945,1491.75415,1146.77698,846.182251,2166.61597,912.789978,496.235107,452.869324,0,66.6001511,189.297348,94.750618,900.781616,151.730042,528.368713,383.620026,4.70937443,32.290287
