ID,Group1_R1DNO1_1_root,Group1_R1DNO1_2_root,group1_R2DNO1_1_root,Group1_R2DNO1_2_root,Group1_R3DNO1_1_root,Group1_R3DNO1_2_root,Group2_R3EIC1_1_root,Group2_R3EIC1_2_root,Group2_R1EIC1_1_root,Group2_R1EIC1_2_root,Group2_R2EIC1_1_root,Group2_R2EIC1_2_root,Group3_R1EIO1_1_root,Group3_R1EIO1_2_root,Group3_R2EIO1_1_root,Group3_R2EIO1_2_root,Group3_R3EIO1_1_root_bad,Group3_R3EIO1_2_root_bad,Group4_R3DNC1_1_root, Group4_R3DNC1_2_root,Group4_R1DNC1_1_root,Group4_R1DNC1_2_root, Group4_R2DNC1_1_root,Group4_R2DNC1_2_root
APEBA082,61.9382172,0,13.8101721,9.81097794,333.121033,229.431122,1870.82788,1859.16748,14.7212124,7.56916285,0,77.9896927,9.49707127,38.1122284,0,31.0358429,0,0,0,0,4.15915489,0,19.6905003,9.16512775
APEBA083,9.41116714,0,0,0,7.68973303,61.9643974,20.3474693,30.7911816,41.1235809,76.477478,0,11.9284916,346.615845,156.368256,98.1177979,230.011154,0,0,0,0,46.5322075,66.3742218,1627.4032,1496.39294
APEBA084,3367.34644,3652.66382,9209.30176,19475.0918,7641.17578,7715.1792,4359.72119,9143.30566,4127.41602,5131.28516,6984.38281,8566.49121,5188.84033,7230.60352,3465.37988,1819.5946,184.202667,403.034515,187.122589,488.43457,1350.54077,2415.8291,21065.6367,26087.6387
APEBA085,1679.89807,1725.39648,4626.69482,9889.11328,3691.48389,3776.29565,2208.36841,4614.12305,2042.48694,2531.92212,3458.11572,4194.65967,2582.98364,3554.44092,1701.01746,893.53949,93.7266159,205.073425,90.3307648,236.557495,685.479797,1210.47534,10644.8906,13221.9219
APEBA086,0,0,0,0,11.4186335,1.79175043,4.64962435,11.0291433,255.365189,106.661278,342.099152,313.476105,284.823364,127.650726,26.389555,0,30.1610203,49.0012474,0,0,0,6.27503538,0,0
APEBA087,5.06472397,0,49.1990166,8.03897381,65.6298065,31.4922123,74.2183838,24.1596298,66.9422836,17.9336796,7.43199587,18.0487404,266.822998,229.633347,125.700249,348.115723,0,0,0,0,19.2912083,19.0500393,32.5018845,55.1526909
APEBA088,378.46048,446.890656,1021.89703,872.565613,497.62442,533.458801,1060.89014,1402.06445,1331.50879,977.403748,171.58139,448.162292,1255.28772,962.480713,1432.47314,2600.64331,3213.09155,2247.94922,1242.39038,469.249695,3653.92432,3213.87329,1566.86011,1773.20081
APEBA089,433.559723,417.071167,493.308044,540.326355,4112.21826,3745.34619,1277.92529,2436.7561,2863.59863,3437.81763,604.609802,636.708313,1640.22266,1229.91101,1612.86523,2024.72949,3354.573,1936.94141,817.766846,346.138489,3498.96143,2640.80811,2312.79102,1427.23157
APEBA090,14391.9541,13153.9834,13207.0977,16001.0635,17415.0059,17013.2578,19865.3672,23110.3652,3988.97266,3710.51978,5174.39014,6612.85449,6474.1582,6251.27881,3093.00317,2312.75122,0,19.6613731,9.58695698,18.9921093,454.467499,378.405304,22387.9375,18471.1543
APEBA091,135.974487,126.324821,599.357666,894.915283,459.173523,672.420837,459.249664,818.622986,10.7882318,0,47.9550591,196.262299,219.684311,197.781891,91.1359329,210.65686,0,29.2431679,6.86566067,0,108.976013,76.4709167,1407.53674,2214.64429
APEBA092,304.940643,657.767395,1082.9696,1802.28821,218.898178,423.073151,1151.70923,2205.00488,124.968864,24.5005093,77.8127899,118.997032,272.293915,223.772934,37.2980003,140.823257,0,14.7701445,140.160767,53.7837677,244.464508,181.742981,534.150574,422.564697
APEBA093,0,0,6.74128962,25.2230644,44.3893433,42.0299873,0,11.2223425,0,0,5.42780066,0,0,4.7656002,0,52.5601501,0,0,501.046539,1946.41064,3.06348705,10.4403934,13.7678213,111.247314
APEBA094,0,0,4.4982295,0,0,0,18.1823235,14.5920525,30.3321648,25.2762814,309.101532,215.259399,92.2042236,64.2792206,179.434433,200.831909,0,0,0,0,1.6288594,9.70945168,0,37.6136208
APEBA095,0,0,45.3533897,26.9681435,67.7135849,90.8898315,36.5265388,113.494217,57.4857903,25.8321419,0,0,27.6048946,59.455265,95.48172,472.042114,340.093536,202.841949,34.0960579,9.27413368,592.00061,589.712708,181.747269,146.190231
APEBA096,3617.36572,4333.27588,6189.22656,8588.32031,1798.45178,2781.13867,3347.97412,5036.25098,3290.6748,2016.97107,2577.71118,3464.4751,2457.99463,2255.51538,899.571838,1032.57227,0,7.56208515,0,0,391.803101,360.13028,9216.04297,7480.27637
APEBA097,3059.7063,3381.5188,6274.04248,8325.03516,1487.4635,2173.04468,3034.90186,4360.85303,2992.37988,1660.81055,2019.45789,2562.81006,1958.77502,1973.32202,707.681641,661.099548,0,9.03639698,0,0,455.523163,353.963379,9066.91895,7210.71436
APEBA098,4.07430458,69.3603897,0,0,8.16856384,89.6211624,0,129.890198,379.004028,334.988068,99.1317749,182.809464,17.2552299,74.6573715,288.39267,658.769348,658.454224,692.596985,0,18.544405,970.445618,1091.89502,166.883163,191.637802
APEBA099,91.9163208,77.3734512,281.007233,286.320648,251.582596,391.003174,176.665497,403.547974,45.2624283,31.7664375,39.4381599,0,57.0240784,24.8428707,1.59152842,5.32169724,4.65919971,15.822937,0,2.86790681,38.5379333,17.7742119,408.163971,743.46698
APEBA100,51.9977188,42.2510185,188.230637,189.007889,140.871826,228.463776,99.9409485,228.289978,25.6052818,22.673027,39.8512154,0,52.5205574,14.0537901,0,0,0,15.6247911,0,0,23.9586983,0,235.654861,434.658234
APEBA101,29.1007309,18.0794106,16.1975746,55.9893837,47.3059921,31.460638,32.5829315,11.2331953,70.1924591,51.3733978,0,0,29.3417969,37.6452713,25.8003445,0,8.97334862,55.451004,9.59466171,0,30.4312057,42.5746765,16.7034855,27.5828457
APEBA102,167.080765,194.387802,1008.8175,1057.5437,401.604279,383.825623,427.949127,672.691528,141.630219,68.4095993,96.7619629,327.320374,235.206619,110.355606,21.30266,91.8580933,10.6312561,43.7829132,0,0,37.1865501,0,128.083679,647.641785
APEBA103,47.5398407,43.0499878,223.417236,234.208405,112.243561,85.0037308,94.7755432,148.47496,31.3660641,15.1502981,32.1981697,72.4898376,52.0899086,24.4398441,12.5780973,20.3433056,2.35444593,9.69636154,0,0,8.23549938,0,28.3659859,170.51059
APEBA104,432.154877,165.548859,428.058228,222.123581,1036.93774,566.222046,551.569763,1603.75122,798.052734,1025.87549,391.578766,446.446136,710.256165,1402.49512,1216.32312,2141.91382,1510.44971,1254.16309,946.959167,421.103027,2458.16016,2773.24023,872.183228,2182.78735
APEBA105,0,0,0,0,548.244324,287.781921,27.3267937,134.161636,85.3251495,41.4500618,0,0,0,0,0,0,0,0,3.60633683,31.0235538,0,9.60877514,44.0533371,0
