NMR_weight,RPPOS_mz,RPNEG_mz,HPOS_mz,HNEG_mz,FTICR_NeutralMass
,,,,,178.3853215
,,,,,178.4025261
,,,,,178.4331485
,,,,,178.5193745
,,,,,178.6965365
,,,,,178.7086895
,,,,,178.7113727
,,,,,178.7165565
,,,,,178.7176715
,,,,,178.8517205
,,,,,178.8520598
,,,,,178.8536515
,,,,,179.0128335
,,,,,179.0132935
,,,,,179.0137855
,,,,,179.0142375
,,,,,179.0218405
,,,,,179.0299285
,,,,,179.0344466
,,,,,179.0458195
,,,,,179.0623135
,,,,,179.063358
,,,,,179.3781815
,,,,,179.3832547
,,,,,179.5522725
,,,,,179.566891
,,,,,179.567393
,,,,,179.717726
,,,,,179.7193665
,,,,,179.7290595
,,,,,179.7494745
,,,,,179.7597355
,,,,,179.7821365
,,,,,179.8984645
,,,,,180.0021408
,,,,,180.0058705
,,,,,180.0092465
,,,,,180.0171435
,,,,,180.0417623
,,,,,180.0422508
,,,,,180.0427306
,,,,,180.0456395
,,,,,180.0500739
,,,,,180.0538165
,,,,,180.0621675
,,,,,180.063393
,,,,,180.0781474
,,,,,180.0786529
,,,,,180.0791413
,,,,,180.1145365
,,,,,180.1150179
,,,,,180.3850549
,,,,,180.3921085
,,,,,180.407121
,,,,,180.4266775
,,,,,180.5388755
,,,,,180.7007215
,,,,,180.7212258
,,,,,180.7214205
,,,,,180.8490928
,,,,,180.9833595
,,,,,181.0103165
,,,,,181.0108345
,,,,,181.0375075
,,,,,181.0408675
,,,,,181.0450465
,,,,,181.045619
,,,,,181.0556891
,,,,,181.0728555
,,,,,181.0733795
,,,,,181.0738857
,,,,,181.1102895
,,,,,181.1666705
,,,,,181.2859215
,,,,,181.3545725
,,,,,181.3704575
,,,,,181.3707055
,,,,,181.3724235
,,,,,181.3726285
,,,,,181.3728215
,,,,,181.386081
,,,,,181.3869237
,,,,,181.3911715
,,,,,181.3982185
,,,,,181.5361425
,,,,,181.596701
,,,,,181.5972496
,,,,,181.6059995
,,,,,181.70708
,,,,,181.7212625
,,,,,181.766137
,,,,,181.7803605
,,,,,181.9557715
,,,,,181.956273
,,,,,181.9707565
,,,,,181.9961445
,,,,,181.9966562
,,,,,181.9971465
,,,,,182.0205448
,,,,,182.0210193
,,,,,182.0215324
,,,,,182.0220267
,,,,,182.0328425
,,,,,182.0378575
,,,,,182.0386125
,,,,,182.0388185
,,,,,182.0568865
,,,,,182.0573956
,,,,,182.0579034
,,,,,182.0583913
,,,,,182.0630421
,,,,,182.0691425
,,,,,182.0709725
,,,,,182.0937855
,,,,,182.0943037
,,,,,182.0947885
,,,,,182.1008031
,,,,,182.3730727
,,,,,182.3924275
,,,,,182.4189815
,,,,,182.4318255
,,,,,182.4320335
,,,,,182.4344415
,,,,,182.4382261
,,,,,182.6045194
,,,,,182.605072
,,,,,182.7114145
,,,,,182.7228055
,,,,,182.7236453
,,,,,182.725503
,,,,,182.7497525
,,,,,182.7665025
,,,,,182.8602825
,,,,,182.9990155
,,,,,183.0167691
,,,,,183.02487
,,,,,183.052645
,,,,,183.0531642
,,,,,183.0536795
,,,,,183.0581045
,,,,,183.0612704
,,,,,183.0621355
,,,,,183.1259125
,,,,,183.3711925
,,,,,183.382564
,,,,,183.5395455
,,,,,183.5401485
,,,,,183.6036115
,,,,,183.6129103
,,,,,183.734234
,,,,,183.8587135
,,,,,183.9533118
,,,,,184.0002665
,,,,,184.0005905
,,,,,184.0007954
,,,,,184.0012993
,,,,,184.0120187
,,,,,184.01944
,,,,,184.0245915
,,,,,184.0366543
,,,,,184.0371771
,,,,,184.0373825
,,,,,184.0376903
,,,,,184.0430631
,,,,,184.0482075
,,,,,184.0484185
,,,,,184.0501167
,,,,,184.057172
,,,,,184.0730285
,,,,,184.0735491
,,,,,184.0740359
,,,,,184.0888195
,,,,,184.1099473
,,,,,184.1463545
,,,,,184.1515077
,,,,,184.3775195
,,,,,184.3889715
,,,,,184.3913004
,,,,,184.3916055
,,,,,184.5858085
,,,,,184.7001491
,,,,,184.7149725
,,,,,184.7257595
,,,,,184.8550925
,,,,,184.8556172
,,,,,184.856129
,,,,,184.922831
,,,,,185.0036095
,,,,,185.0041333
,,,,,185.0046275
,,,,,185.0324155
,,,,,185.0405289
,,,,,185.0569935
,,,,,185.0688196
,,,,,185.1046625
,,,,,185.1051846
,,,,,185.1057145
,,,,,185.3939065
,,,,,185.4103505
,,,,,185.6684865
,,,,,185.716227
,,,,,185.7227605
,,,,,185.7229795
,,,,,185.7231675
,,,,,185.8557705
,,,,,185.9061805
,,,,,185.9067257
,,,,,185.9072715
,,,,,185.9708145
,,,,,185.9986755
,,,,,186.0050505
,,,,,186.0159035
,,,,,186.0164341
,,,,,186.0295009
,,,,,186.0344945
,,,,,186.0350578
,,,,,186.0423822
,,,,,186.0439312
,,,,,186.0522838
,,,,,186.0528144
,,,,,186.0533165
,,,,,186.0574183
,,,,,186.0630987
,,,,,186.0657846
,,,,,186.0878365
,,,,,186.0886675
,,,,,186.0892019
,,,,,186.089715
,,,,,186.1085485
,,,,,186.1250535
,,,,,186.1255929
,,,,,186.126138
,,,,,186.3340855
,,,,,186.3886508
,,,,,186.3975225
,,,,,186.4438865
,,,,,186.5570955
,,,,,186.7043485
,,,,,186.708079
,,,,,186.717782
,,,,,186.7228675
,,,,,186.7231005
,,,,,186.7376925
,,,,,186.7795075
,,,,,186.7815945
,,,,,186.8521085
,,,,,186.8526615
,,,,,186.8531835
,,,,,186.8560035
,,,,,186.9015925
,,,,,186.9198775
,,,,,187.0303212
,,,,,187.0440825
,,,,,187.0480728
,,,,,187.0627935
,,,,,187.0633382
,,,,,187.0839235
,,,,,187.0844589
,,,,,187.0849545
,,,,,187.0925521
,,,,,187.119755
,,,,,187.1202965
,,,,,187.1206315
,,,,,187.120838
,,,,,187.121361
,,,,,187.1289295
,,,,,187.3703145
,,,,,187.3826375
,,,,,187.4068822
,,,,,187.4349465
,,,,,187.5255995
,,,,,187.5453435
,,,,,187.8754295
,,,,,187.9037853
,,,,,187.9727195
,,,,,187.9732495
,,,,,187.9876331
,,,,,188.0137876
,,,,,188.0143361
,,,,,188.0148751
,,,,,188.0234775
,,,,,188.0240245
,,,,,188.031545
,,,,,188.0320962
,,,,,188.03262
,,,,,188.0473655
,,,,,188.0545138
,,,,,188.0673445
,,,,,188.0679319
,,,,,188.0684809
,,,,,188.0686945
,,,,,188.0690161
,,,,,188.1037597
,,,,,188.1043151
,,,,,188.104646
,,,,,188.1048647
,,,,,188.1050775
,,,,,188.1053979
,,,,,188.116078
,,,,,188.1236375
,,,,,188.1241951
,,,,,188.1247295
,,,,,188.1406948
,,,,,188.1410285
,,,,,188.1412489
,,,,,188.1417777
,,,,,188.3889685
,,,,,188.7201915
,,,,,188.7220365
,,,,,188.7290918
,,,,,188.8497195
,,,,,188.8502425
,,,,,188.8530595
,,,,,188.8727181
,,,,,188.8732702
,,,,,188.8737995
,,,,,188.8986595
,,,,,188.9828675
,,,,,189.017671
,,,,,189.0354471
,,,,,189.0420475
,,,,,189.0423835
,,,,,189.0426017
,,,,,189.043146
,,,,,189.0459715
,,,,,189.0631495
,,,,,189.0637156
,,,,,189.0642465
,,,,,189.0718237
,,,,,189.0995465
,,,,,189.1001059
